ano;population
1980;119011052
1981;121154159
1982;123774229
1983;126403352
1984;129025577
1985;131639272
1986;134228492
1987;136780739
1988;139280140
1989;141714953
1990;144090756
1991;146825475
1992;148684120
1993;151556521
1994;153726463
1995;155822296
1996;157070163
1997;159636297
1998;161790182
1999;163947436
2000;169799170
2001;172385776
2002;174632932
2003;176876251
2004;179108134
2005;184184074
2006;186770613
2007;189335191
2008;189612814
2009;191481045
2010;190755799
2011;192379287
2012;193976530
2013;201062789
2014;202799518
2015;204482459
2016;206114067
