Region,Country,Category,Brand,Sub Brand,Date,Price,Quantity Sold,Discount
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,01/01/2017,20,610,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,02/01/2017,20,3,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,03/01/2017,20,997,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,04/01/2017,20,705,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,05/01/2017,20,907,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,06/01/2017,20,224,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,07/01/2017,20,915,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,08/01/2017,20,903,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,09/01/2017,20,709,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,10/01/2017,20,388,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,11/01/2017,20,12,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,12/01/2017,20,448,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,13/01/2017,20,420,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,14/01/2017,20,682,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,15/01/2017,20,986,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,16/01/2017,20,61,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,17/01/2017,20,776,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,18/01/2017,20,987,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,19/01/2017,20,25,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,20/01/2017,20,988,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,21/01/2017,20,212,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,22/01/2017,20,580,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,23/01/2017,20,199,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,24/01/2017,20,450,0.1
Asia,Pakistan,Soft Drink,Pepsi,Pepsi 250 ml,25/01/2017,20,448,0.1
