regiao;uf;superficie;pop_urbana;pop_rural;total
Norte;RO;238513;762864,0;468143,0;1231007,0
Norte;AC;153150;315401,0;168322,0;483726,0
Norte;AM;1577820;1766166,0;623113,0;2389279,0
Norte;RR;225116;174277,0;72854,0;247131,0
Norte;PA;1253165;2949017,0;2561832,0;5510849,0
Norte;AP;143454;330590,0;48869,0;379459,0
Norte;TO;278421;741009,0;307633,0;1048642,0
Nordeste;MA;333366;2711557,0;2511008,0;5222565,0
Nordeste;PI;252379;1556115,0;1117061,0;2673176,0
Nordeste;Litígio*;2977;;;
Nordeste;CE;146348;4713311,0;2096483,0;6809794,0
Nordeste;RN;53307;1843486,0;715174,0;2558660,0
Nordeste;PB;56585;2261986,0;1043630,0;3305616,0
Nordeste;PE**;98938;5476915,0;1922216,0;7399131,0
Nordeste;AL;27933;1661914,0;971425,0;2633339,0
Nordeste;SE;22050;1140569,0;483606,0;1624175,0
Nordeste;BA;567295;7826843,0;4714902,0;12541745,0
Sudeste;MG;588384;13074245,0;3598852,0;16673097,0
Sudeste;ES;46184;2176006,0;626701,0;2802707,0
Sudeste;RJ;43910;12806488,0;599891,0;13406379,0
Sudeste;SP;248809;31769219,0;2351667,0;34120886,0
Sul;PR;199709;7011990,0;1991814,0;9003804,0
Sul;SC;95443;3565130,0;1310114,0;4875244,0
Sul;RS;282062;7581230,0;2056452,0;9637682,0
Centro-Oeste;MS;358159;1604318,0;323516,0;1927834,0
Centro-Oeste;MT;906807;1695548,0;540284,0;2235832,0
Centro-Oeste;GO;3412895;3873722,0;642146,0;4515868,0
Centro-Oeste;DF;5822;1692248,0;129698,0;1821946,0
;Ilhas***;10;;;
