"UF";"COD. UF";"COD. MUNIC";"NOME DO MUNICÍPIO";"POPULAÇÃO ESTIMADA"
"RO";11;"00015";"Alta Floresta D'Oeste";22.516
"RO";11;"00023";"Ariquemes";111.148
"RO";11;"00031";"Cabixi";5.067
"RO";11;"00049";"Cacoal";86.416
"RO";11;"00056";"Cerejeiras";16.088
"RO";11;"00064";"Colorado do Oeste";15.213
"RO";11;"00072";"Corumbiara";7.052
"RO";11;"00080";"Costa Marques";19.255
"RO";11;"00098";"Espigão D'Oeste";33.009
"RO";11;"00106";"Guajará-Mirim";46.930
"RO";11;"00114";"Jaru";51.469
"RO";11;"00122";"Ji-Paraná";131.026
"RO";11;"00130";"Machadinho D'Oeste";41.724
"RO";11;"00148";"Nova Brasilândia D'Oeste";20.504
"RO";11;"00155";"Ouro Preto do Oeste";35.445
"RO";11;"00189";"Pimenta Bueno";37.098
"RO";11;"00205";"Porto Velho";"548.952"
"RO";11;"00254";"Presidente Médici";18.165
"RO";11;"00262";"Rio Crespo";3.843
"RO";11;"00288";"Rolim de Moura";55.748
"RO";11;"00296";"Santa Luzia D'Oeste";5.942
"RO";11;"00304";"Vilhena";104.517
"RO";11;"00320";"São Miguel do Guaporé";23.147
"RO";11;"00338";"Nova Mamoré";32.184
"RO";11;"00346";"Alvorada D'Oeste";13.807
"RO";11;"00379";"Alto Alegre dos Parecis";13.268
"RO";11;"00403";"Alto Paraíso";22.258
"RO";11;"00452";"Buritis";41.043
"RO";11;"00502";"Novo Horizonte do Oeste";8.125
"RO";11;"00601";"Cacaulândia";6.307
"RO";11;"00700";"Campo Novo de Rondônia";14.391
"RO";11;"00809";"Candeias do Jamari";28.068
"RO";11;"00908";"Castanheiras";2.923
"RO";11;"00924";"Chupinguaia";11.755
"RO";11;"00940";"Cujubim";27.131
"RO";11;"01005";"Governador Jorge Teixeira";7.130
"RO";11;"01104";"Itapuã do Oeste";10.819
"RO";11;"01203";"Ministro Andreazza";9.461
"RO";11;"01302";"Mirante da Serra";10.691
"RO";11;"01401";"Monte Negro";16.158
"RO";11;"01435";"Nova União";6.822
"RO";11;"01450";"Parecis";6.319
"RO";11;"01468";"Pimenteiras do Oeste";2.127
"RO";11;"01476";"Primavera de Rondônia";2.697
"RO";11;"01484";"São Felipe D'Oeste";4.962
"RO";11;"01492";"São Francisco do Guaporé";21.088
"RO";11;"01500";"Seringueiras";11.846
"RO";11;"01559";"Teixeirópolis";4.160
"RO";11;"01609";"Theobroma";10.348
"RO";11;"01708";"Urupá";11.081
"RO";11;"01757";"Vale do Anari";11.545
"RO";11;"01807";"Vale do Paraíso";6.490
"AC";12;"00013";"Acrelândia";15.721
"AC";12;"00054";"Assis Brasil";7.649
"AC";12;"00104";"Brasiléia";27.123
"AC";12;"00138";"Bujari";10.572
"AC";12;"00179";"Capixaba";12.280
"AC";12;"00203";"Cruzeiro do Sul";89.760
"AC";12;"00252";"Epitaciolândia";18.979
"AC";12;"00302";"Feijó";34.986
"AC";12;"00328";"Jordão";8.628
"AC";12;"00336";"Mâncio Lima";19.643
"AC";12;"00344";"Manoel Urbano";9.701
"AC";12;"00351";"Marechal Thaumaturgo";19.727
"AC";12;"00385";"Plácido de Castro";20.147
"AC";12;"00393";"Porto Walter";12.497
"AC";12;"00401";"Rio Branco";419.452
"AC";12;"00427";"Rodrigues Alves";19.767
"AC";12;"00435";"Santa Rosa do Purus";6.893
"AC";12;"00450";"Senador Guiomard";23.446
"AC";12;"00500";"Sena Madureira";47.168
"AC";12;"00609";"Tarauacá";43.730
"AC";12;"00708";"Xapuri";19.866
"AC";12;"00807";"Porto Acre";19.141
"AM";13;"00029";"Alvarães";"16.396"
"AM";13;"00060";"Amaturá";11.934
"AM";13;"00086";"Anamã";14.292
"AM";13;"00102";"Anori";21.937
"AM";13;"00144";"Apuí";22.739
"AM";13;"00201";"Atalaia do Norte";20.868
"AM";13;"00300";"Autazes";41.005
"AM";13;"00409";"Barcelos";"27.772"
"AM";13;"00508";"Barreirinha";32.919
"AM";13;"00607";"Benjamin Constant";"44.873"
"AM";13;"00631";"Beruri";20.503
"AM";13;"00680";"Boa Vista do Ramos";20.040
"AM";13;"00706";"Boca do Acre";34.958
"AM";13;"00805";"Borba";42.328
"AM";13;"00839";"Caapiranga";"13.482"
"AM";13;"00904";"Canutama";15.981
"AM";13;"01001";"Carauari";28.719
"AM";13;"01100";"Careiro";38.820
"AM";13;"01159";"Careiro da Várzea";31.459
"AM";13;"01209";"Coari";86.713
"AM";13;"01308";"Codajás";29.691
"AM";13;"01407";"Eirunepé";36.121
"AM";13;"01506";"Envira";20.748
"AM";13;"01605";"Fonte Boa";"16.409"
"AM";13;"01654";"Guajará";"17.193"
"AM";13;"01704";"Humaitá";"57.195"
"AM";13;"01803";"Ipixuna";31.172
"AM";13;"01852";"Iranduba";49.718
"AM";13;"01902";"Itacoatiara";"104.046"
"AM";13;"01951";"Itamarati";"7.777"
"AM";13;"02009";"Itapiranga";"9.312"
"AM";13;"02108";"Japurá";"1.755"
"AM";13;"02207";"Juruá";15.495
"AM";13;"02306";"Jutaí";"13.462"
"AM";13;"02405";"Lábrea";"47.685"
"AM";13;"02504";"Manacapuru";99.613
"AM";13;"02553";"Manaquiri";"33.981"
"AM";13;"02603";"Manaus";2.255.903
"AM";13;"02702";"Manicoré";57.405
"AM";13;"02801";"Maraã";18.298
"AM";13;"02900";"Maués";66.159
"AM";13;"03007";"Nhamundá";21.710
"AM";13;"03106";"Nova Olinda do Norte";38.665
"AM";13;"03205";"Novo Airão";20.395
"AM";13;"03304";"Novo Aripuanã";26.443
"AM";13;"03403";"Parintins";"116.439"
"AM";13;"03502";"Pauini";"19.616"
"AM";13;"03536";"Presidente Figueiredo";38.095
"AM";13;"03569";"Rio Preto da Eva";34.856
"AM";13;"03601";"Santa Isabel do Rio Negro";"26.566"
"AM";13;"03700";"Santo Antônio do Içá";20.889
"AM";13;"03809";"São Gabriel da Cachoeira";47.031
"AM";13;"03908";"São Paulo de Olivença";40.837
"AM";13;"03957";"São Sebastião do Uatumã";14.678
"AM";13;"04005";"Silves";9.289
"AM";13;"04062";"Tabatinga";"68.502"
"AM";13;"04104";"Tapauá";"16.876"
"AM";13;"04203";"Tefé";59.250
"AM";13;"04237";"Tonantins";19.038
"AM";13;"04260";"Uarini";13.839
"AM";13;"04302";"Urucará";"16.007"
"AM";13;"04401";"Urucurituba";"24.098"
"RR";14;"00027";"Amajari";13.561
"RR";14;"00050";"Alto Alegre";15.249
"RR";14;"00100";"Boa Vista";436.591
"RR";14;"00159";"Bonfim";12.701
"RR";14;"00175";"Cantá";19.257
"RR";14;"00209";"Caracaraí";22.635
"RR";14;"00233";"Caroebe";10.595
"RR";14;"00282";"Iracema";12.637
"RR";14;"00308";"Mucajaí";18.482
"RR";14;"00407";"Normandia";11.772
"RR";14;"00456";"Pacaraima";20.108
"RR";14;"00472";"Rorainópolis";31.387
"RR";14;"00506";"São João da Baliza";8.492
"RR";14;"00605";"São Luiz";8.232
"RR";14;"00704";"Uiramutã";11.014
"PA";15;"00107";"Abaetetuba";160.439
"PA";15;"00131";"Abel Figueiredo";7.536
"PA";15;"00206";"Acará";55.744
"PA";15;"00305";"Afuá";39.910
"PA";15;"00347";"Água Azul do Norte";27.797
"PA";15;"00404";"Alenquer";57.390
"PA";15;"00503";"Almeirim";34.044
"PA";15;"00602";"Altamira";117.320
"PA";15;"00701";"Anajás";30.091
"PA";15;"00800";"Ananindeua";540.410
"PA";15;"00859";"Anapu";29.312
"PA";15;"00909";"Augusto Corrêa";46.937
"PA";15;"00958";"Aurora do Pará";32.200
"PA";15;"01006";"Aveiro";16.421
"PA";15;"01105";"Bagre";31.967
"PA";15;"01204";"Baião";49.454
"PA";15;"01253";"Bannach";3.239
"PA";15;"01303";"Barcarena";129.333
"PA";15;"01402";"Belém";1.506.420
"PA";15;"01451";"Belterra";17.944
"PA";15;"01501";"Benevides";64.780
"PA";15;"01576";"Bom Jesus do Tocantins";17.254
"PA";15;"01600";"Bonito";16.769
"PA";15;"01709";"Bragança";130.122
"PA";15;"01725";"Brasil Novo";14.883
"PA";15;"01758";"Brejo Grande do Araguaia";7.357
"PA";15;"01782";"Breu Branco";68.597
"PA";15;"01808";"Breves";104.280
"PA";15;"01907";"Bujaru";29.717
"PA";15;"01956";"Cachoeira do Piriá";35.307
"PA";15;"02004";"Cachoeira do Arari";24.355
"PA";15;"02103";"Cametá";140.814
"PA";15;"02152";"Canaã dos Carajás";39.103
"PA";15;"02202";"Capanema";69.828
"PA";15;"02301";"Capitão Poço";54.545
"PA";15;"02400";"Castanhal";205.667
"PA";15;"02509";"Chaves";24.175
"PA";15;"02608";"Colares";12.175
"PA";15;"02707";"Conceição do Araguaia";48.115
"PA";15;"02756";"Concórdia do Pará";34.236
"PA";15;"02764";"Cumaru do Norte";14.044
"PA";15;"02772";"Curionópolis";17.764
"PA";15;"02806";"Curralinho";35.530
"PA";15;"02855";"Curuá";14.776
"PA";15;"02905";"Curuçá";41.093
"PA";15;"02939";"Dom Eliseu";61.206
"PA";15;"02954";"Eldorado do Carajás";34.069
"PA";15;"03002";"Faro";6.949
"PA";15;"03044";"Floresta do Araguaia";20.742
"PA";15;"03077";"Garrafão do Norte";26.155
"PA";15;"03093";"Goianésia do Pará";41.678
"PA";15;"03101";"Gurupá";34.127
"PA";15;"03200";"Igarapé-Açu";39.234
"PA";15;"03309";"Igarapé-Miri";63.367
"PA";15;"03408";"Inhangapi";12.009
"PA";15;"03457";"Ipixuna do Pará";67.170
"PA";15;"03507";"Irituia";32.639
"PA";15;"03606";"Itaituba";101.541
"PA";15;"03705";"Itupiranga";53.439
"PA";15;"03754";"Jacareacanga";"6.952"
"PA";15;"03804";"Jacundá";60.517
"PA";15;"03903";"Juruti";59.961
"PA";15;"04000";"Limoeiro do Ajuru";29.623
"PA";15;"04059";"Mãe do Rio";30.389
"PA";15;"04109";"Magalhães Barata";8.598
"PA";15;"04208";"Marabá";287.664
"PA";15;"04307";"Maracanã";29.559
"PA";15;"04406";"Marapanim";28.563
"PA";15;"04422";"Marituba";135.812
"PA";15;"04455";"Medicilândia";32.347
"PA";15;"04505";"Melgaço";28.121
"PA";15;"04604";"Mocajuba";31.917
"PA";15;"04703";"Moju";84.251
"PA";15;"04752";"Mojuí dos Campos";16.282
"PA";15;"04802";"Monte Alegre";58.289
"PA";15;"04901";"Muaná";41.454
"PA";15;"04950";"Nova Esperança do Piriá";21.519
"PA";15;"04976";"Nova Ipixuna";17.027
"PA";15;"05007";"Nova Timboteua";15.646
"PA";15;"05031";"Novo Progresso";25.769
"PA";15;"05064";"Novo Repartimento";78.488
"PA";15;"05106";"Óbidos";52.473
"PA";15;"05205";"Oeiras do Pará";33.182
"PA";15;"05304";"Oriximiná";74.921
"PA";15;"05403";"Ourém";18.079
"PA";15;"05437";"Ourilândia do Norte";33.831
"PA";15;"05486";"Pacajá";49.110
"PA";15;"05494";"Palestina do Pará";7.575
"PA";15;"05502";"Paragominas";115.838
"PA";15;"05536";"Parauapebas";218.787
"PA";15;"05551";"Pau D'Arco";5.339
"PA";15;"05601";"Peixe-Boi";8.084
"PA";15;"05635";"Piçarra";12.976
"PA";15;"05650";"Placas";32.325
"PA";15;"05700";"Ponta de Pedras";32.007
"PA";15;"05809";"Portel";63.831
"PA";15;"05908";"Porto de Moz";42.456
"PA";15;"06005";"Prainha";29.827
"PA";15;"06104";"Primavera";10.889
"PA";15;"06112";"Quatipuru";13.794
"PA";15;"06138";"Redenção";86.326
"PA";15;"06161";"Rio Maria";18.208
"PA";15;"06187";"Rondon do Pará";53.242
"PA";15;"06195";"Rurópolis";52.473
"PA";15;"06203";"Salinópolis";41.164
"PA";15;"06302";"Salvaterra";24.392
"PA";15;"06351";"Santa Bárbara do Pará";21.811
